transaction_id,merchant_id,customer_id,amount,currency,payment_method,status,failure_reason,device,location,transaction_time,attempt_number,hour,day_of_week,is_high_value,is_new_customer,previous_transactions,previous_failures,previous_success_rate,retry_count,transaction_velocity,is_incident,incident_type
txn-0033554,demo-merchant-001,customer-02936,7462.91,INR,UPI,SUCCESS,,ANDROID,Delhi,2026-07-15 17:28:59.711365,1,17,2,False,False,9,0,1.0,0,2,False,
txn-0009428,demo-merchant-001,customer-02474,2551.65,INR,NETBANKING,SUCCESS,,IOS,Bengaluru,2026-08-20 20:56:00.711365,1,20,3,False,False,1,0,1.0,0,2,False,
txn-0000200,demo-merchant-001,customer-01917,801.53,INR,UPI,SUCCESS,,ANDROID,Bengaluru,2026-08-12 21:19:51.711365,1,21,2,False,True,0,0,1.0,0,2,True,UPI_DEGRADATION
txn-0012448,demo-merchant-001,customer-03114,3919.56,INR,WALLET,SUCCESS,,DESKTOP,Delhi,2026-06-08 11:49:08.711365,1,11,0,False,False,1,1,0.0,0,2,False,
txn-0039490,demo-merchant-001,customer-04501,1684.6,INR,WALLET,SUCCESS,,ANDROID,Chennai,2026-06-09 00:44:38.711365,1,0,1,False,False,13,1,0.9231,0,5,False,
txn-0042725,demo-merchant-001,customer-02151,1431.59,INR,NETBANKING,FAILED,Payment timeout,DESKTOP,Hyderabad,2026-08-25 10:29:38.711365,1,10,1,False,False,8,1,0.875,0,5,False,
txn-0010823,demo-merchant-001,customer-01591,989.43,INR,UPI,SUCCESS,,DESKTOP,Delhi,2026-07-11 21:31:04.711365,1,21,5,False,False,3,2,0.3333,0,1,False,
txn-0049499,demo-merchant-001,customer-00722,7332.36,INR,UPI,SUCCESS,,DESKTOP,Bengaluru,2026-07-11 08:05:10.711365,1,8,5,False,False,8,0,1.0,0,2,False,
txn-0004145,demo-merchant-001,customer-00644,34928.41,INR,CARD,FAILED,Authentication failure,IOS,Mumbai,2026-07-09 00:23:38.711365,1,0,3,True,False,1,0,1.0,0,5,True,HIGH_VALUE_CARD_DEGRADATION
txn-0036959,demo-merchant-001,customer-02066,4018.58,INR,CARD,FAILED,Temporary network failure,DESKTOP,Hyderabad,2026-07-06 01:10:09.711365,1,1,0,False,False,10,1,0.9,0,2,False,
txn-0043107,demo-merchant-001,customer-00451,1901.32,INR,UPI,SUCCESS,,ANDROID,Hyderabad,2026-07-06 07:17:00.711365,1,7,0,False,False,5,0,1.0,0,4,False,
txn-0038696,demo-merchant-001,customer-00344,3520.43,INR,WALLET,SUCCESS,,ANDROID,Hyderabad,2026-08-23 00:35:06.711365,2,0,6,False,False,8,1,0.875,1,5,False,
txn-0006189,demo-merchant-001,customer-02129,6025.02,INR,UPI,FAILED,Insufficient funds,IOS,Hyderabad,2026-07-20 18:37:58.711365,2,18,0,False,True,0,0,1.0,1,5,True,EVENING_DEGRADATION
