transaction_id,merchant_id,customer_id,amount,payment_method,device,location,transaction_time,incident_type,previous_transactions,previous_failures,previous_success_rate,retry_count,is_high_value,transaction_velocity,strategy,recovery_probability,recovery_success,recovered_amount
txn-0034187,demo-merchant-001,customer-00401,1333.17,NETBANKING,IOS,Chennai,2026-07-12 01:26:53.711365,,3,0,1.0,0,False,2,ALTERNATIVE_PAYMENT,0.48,1,1333.17
txn-0002502,demo-merchant-001,customer-00750,4339.22,UPI,ANDROID,Bengaluru,2026-06-19 22:00:39.711365,UPI_DEGRADATION,0,0,1.0,0,False,4,SMART_RETRY,0.61,1,4339.22
txn-0000299,demo-merchant-001,customer-03500,3832.19,UPI,ANDROID,Bengaluru,2026-08-15 23:03:22.711365,UPI_DEGRADATION,0,0,1.0,1,False,4,SMART_RETRY,0.56,0,0.0
txn-0021614,demo-merchant-001,customer-00951,1991.65,NETBANKING,DESKTOP,Mumbai,2026-06-22 21:37:16.711365,,1,0,1.0,0,False,1,NO_ACTION,0.0,0,0.0
txn-0046413,demo-merchant-001,customer-01589,1120.51,NETBANKING,DESKTOP,Mumbai,2026-07-17 03:18:26.711365,,5,1,0.8,1,False,2,ALTERNATIVE_PAYMENT,0.335,0,0.0
txn-0016247,demo-merchant-001,customer-02941,3773.71,CARD,ANDROID,Hyderabad,2026-08-05 22:46:37.711365,,4,1,0.75,0,False,1,NO_ACTION,0.0,0,0.0
txn-0001255,demo-merchant-001,customer-00471,5340.3,UPI,ANDROID,Bengaluru,2026-06-15 22:35:59.711365,UPI_DEGRADATION,1,0,1.0,0,False,1,ALTERNATIVE_PAYMENT,0.56,1,5340.3
txn-0001083,demo-merchant-001,customer-04669,1546.26,UPI,ANDROID,Bengaluru,2026-07-04 22:12:54.711365,UPI_DEGRADATION,0,0,1.0,0,False,5,SMART_RETRY,0.61,0,0.0
txn-0000169,demo-merchant-001,customer-03284,1643.51,UPI,ANDROID,Bengaluru,2026-06-13 21:47:40.711365,UPI_DEGRADATION,0,0,1.0,2,False,1,SMART_RETRY,0.51,1,1643.51
txn-0030910,demo-merchant-001,customer-01643,10805.11,WALLET,IOS,Hyderabad,2026-09-02 16:33:57.711365,,4,1,0.75,0,True,3,NO_ACTION,0.0,0,0.0
txn-0047945,demo-merchant-001,customer-02954,1083.07,UPI,ANDROID,Chennai,2026-08-10 13:15:50.711365,,6,1,0.8333,0,False,2,ALTERNATIVE_PAYMENT,0.385,1,1083.07
txn-0023692,demo-merchant-001,customer-03168,1188.82,WALLET,ANDROID,Delhi,2026-07-06 00:40:48.711365,,5,0,1.0,0,False,4,SMART_RETRY,0.38,0,0.0
txn-0001331,demo-merchant-001,customer-03214,6805.61,UPI,ANDROID,Bengaluru,2026-06-28 20:52:44.711365,UPI_DEGRADATION,1,0,1.0,0,False,3,NO_ACTION,0.0,0,0.0
txn-0006538,demo-merchant-001,customer-03967,562.51,CARD,ANDROID,Mumbai,2026-06-27 19:00:02.711365,EVENING_DEGRADATION,2,0,1.0,0,False,1,NO_ACTION,0.0,0,0.0
txn-0006358,demo-merchant-001,customer-03153,2055.76,NETBANKING,ANDROID,Mumbai,2026-07-30 20:27:41.711365,EVENING_DEGRADATION,1,0,1.0,0,False,3,SMART_RETRY,0.5,0,0.0
txn-0038252,demo-merchant-001,customer-00871,6431.16,WALLET,IOS,Mumbai,2026-06-22 02:37:12.711365,,7,0,1.0,0,False,4,ALTERNATIVE_PAYMENT,0.48,1,6431.16
txn-0022956,demo-merchant-001,customer-04870,1470.46,WALLET,ANDROID,Bengaluru,2026-07-03 14:23:39.711365,,4,3,0.25,0,False,4,SMART_RETRY,0.175,0,0.0
txn-0012902,demo-merchant-001,customer-02699,1710.13,NETBANKING,ANDROID,Mumbai,2026-07-17 10:20:13.711365,,2,0,1.0,1,False,4,ALTERNATIVE_PAYMENT,0.43,0,0.0
txn-0049592,demo-merchant-001,customer-02213,3095.42,NETBANKING,IOS,Hyderabad,2026-07-01 23:32:47.711365,,12,0,1.0,0,False,5,SMART_RETRY,0.38,1,3095.42
txn-0015723,demo-merchant-001,customer-04161,2189.5,UPI,ANDROID,Hyderabad,2026-06-26 00:20:49.711365,,3,2,0.3333,0,False,3,NO_ACTION,0.0,0,0.0
txn-0003767,demo-merchant-001,customer-01955,15525.01,CARD,IOS,Mumbai,2026-06-05 12:51:00.711365,HIGH_VALUE_CARD_DEGRADATION,1,0,1.0,0,True,4,ALTERNATIVE_PAYMENT,0.81,1,15525.01
txn-0002950,demo-merchant-001,customer-00584,542.68,UPI,ANDROID,Bengaluru,2026-07-23 23:46:23.711365,UPI_DEGRADATION,2,1,0.5,0,False,5,SMART_RETRY,0.515,0,0.0
txn-0001916,demo-merchant-001,customer-02235,1295.64,UPI,ANDROID,Bengaluru,2026-07-15 23:20:38.711365,UPI_DEGRADATION,0,0,1.0,1,False,2,ALTERNATIVE_PAYMENT,0.51,0,0.0
txn-0021725,demo-merchant-001,customer-03037,3076.9,NETBANKING,ANDROID,Mumbai,2026-07-14 15:57:17.711365,,4,0,1.0,0,False,1,ALTERNATIVE_PAYMENT,0.48,0,0.0
txn-0013820,demo-merchant-001,customer-03636,2752.06,CARD,ANDROID,Chennai,2026-08-02 07:58:08.711365,,0,0,1.0,0,False,1,NO_ACTION,0.0,0,0.0
txn-0004757,demo-merchant-001,customer-02813,21003.96,CARD,IOS,Mumbai,2026-07-02 18:12:31.711365,HIGH_VALUE_CARD_DEGRADATION,1,1,0.0,0,True,3,SMART_RETRY,0.225,1,21003.96
txn-0041142,demo-merchant-001,customer-00126,1926.47,NETBANKING,IOS,Mumbai,2026-07-21 21:18:01.711365,,9,1,0.8889,0,False,1,ALTERNATIVE_PAYMENT,0.385,0,0.0
txn-0008108,demo-merchant-001,customer-04168,1951.34,UPI,IOS,Chennai,2026-08-13 07:33:39.711365,,5,1,0.8,0,False,2,SMART_RETRY,0.335,0,0.0
txn-0019095,demo-merchant-001,customer-02830,3376.57,WALLET,DESKTOP,Chennai,2026-06-26 06:15:43.711365,,5,0,1.0,0,False,4,ALTERNATIVE_PAYMENT,0.48,1,3376.57
txn-0011801,demo-merchant-001,customer-01247,8928.59,WALLET,IOS,Bengaluru,2026-08-14 18:31:48.711365,,1,0,1.0,0,False,5,SMART_RETRY,0.38,0,0.0
txn-0041426,demo-merchant-001,customer-01288,823.57,NETBANKING,ANDROID,Mumbai,2026-07-21 22:09:26.711365,,13,3,0.7692,1,False,2,NO_ACTION,0.0,0,0.0
txn-0017161,demo-merchant-001,customer-04103,2521.86,NETBANKING,DESKTOP,Hyderabad,2026-06-25 00:43:02.711365,,3,0,1.0,0,False,1,SMART_RETRY,0.38,0,0.0
txn-0009466,demo-merchant-001,customer-00947,1923.48,NETBANKING,DESKTOP,Mumbai,2026-07-30 02:47:43.711365,,2,0,1.0,1,False,1,SMART_RETRY,0.33,0,0.0
txn-0040663,demo-merchant-001,customer-04380,5162.11,UPI,DESKTOP,Bengaluru,2026-07-04 02:47:32.711365,,9,0,1.0,0,False,1,SMART_RETRY,0.43,1,5162.11
txn-0013928,demo-merchant-001,customer-04406,1120.35,CARD,ANDROID,Bengaluru,2026-07-16 13:41:25.711365,,4,0,1.0,0,False,5,ALTERNATIVE_PAYMENT,0.56,1,1120.35
txn-0001045,demo-merchant-001,customer-01335,1742.02,UPI,ANDROID,Bengaluru,2026-06-23 21:31:45.711365,UPI_DEGRADATION,0,0,1.0,0,False,5,ALTERNATIVE_PAYMENT,0.56,0,0.0
txn-0030908,demo-merchant-001,customer-04580,2204.8,UPI,IOS,Delhi,2026-07-21 11:06:24.711365,,8,2,0.75,0,False,2,ALTERNATIVE_PAYMENT,0.37,0,0.0
txn-0006363,demo-merchant-001,customer-03817,827.46,WALLET,DESKTOP,Chennai,2026-06-23 19:35:45.711365,EVENING_DEGRADATION,0,0,1.0,0,False,2,SMART_RETRY,0.5,1,827.46
txn-0039370,demo-merchant-001,customer-03196,5303.89,NETBANKING,DESKTOP,Bengaluru,2026-06-18 10:23:49.711365,,6,1,0.8333,0,False,4,ALTERNATIVE_PAYMENT,0.385,0,0.0
txn-0022658,demo-merchant-001,customer-01977,7204.23,WALLET,IOS,Bengaluru,2026-07-30 06:50:56.711365,,4,3,0.25,1,False,4,NO_ACTION,0.0,0,0.0
txn-0003466,demo-merchant-001,customer-02683,12457.85,CARD,IOS,Mumbai,2026-06-19 15:25:39.711365,HIGH_VALUE_CARD_DEGRADATION,0,0,1.0,0,True,3,SMART_RETRY,0.4,1,12457.85
txn-0008067,demo-merchant-001,customer-01161,1416.21,CARD,IOS,Hyderabad,2026-08-19 14:18:05.711365,,1,0,1.0,2,False,2,ALTERNATIVE_PAYMENT,0.46,1,1416.21
txn-0012572,demo-merchant-001,customer-03691,1844.15,NETBANKING,DESKTOP,Delhi,2026-06-26 20:41:09.711365,,4,1,0.75,1,False,3,NO_ACTION,0.0,0,0.0
txn-0008381,demo-merchant-001,customer-02997,9925.32,NETBANKING,ANDROID,Delhi,2026-08-10 02:03:41.711365,,5,1,0.8,0,False,1,NO_ACTION,0.0,0,0.0
txn-0001836,demo-merchant-001,customer-00367,2670.73,UPI,ANDROID,Bengaluru,2026-06-24 21:38:15.711365,UPI_DEGRADATION,0,0,1.0,0,False,3,ALTERNATIVE_PAYMENT,0.56,1,2670.73
txn-0030492,demo-merchant-001,customer-02010,577.52,NETBANKING,DESKTOP,Delhi,2026-06-16 07:46:20.711365,,4,0,1.0,0,False,4,SMART_RETRY,0.38,1,577.52
txn-0004754,demo-merchant-001,customer-02267,38414.06,CARD,IOS,Mumbai,2026-07-05 11:02:33.711365,HIGH_VALUE_CARD_DEGRADATION,2,0,1.0,0,True,3,NO_ACTION,0.0,0,0.0
txn-0045294,demo-merchant-001,customer-04069,4171.85,UPI,IOS,Chennai,2026-06-22 20:28:11.711365,,9,2,0.7778,1,False,3,SMART_RETRY,0.27,0,0.0
txn-0040268,demo-merchant-001,customer-00362,1879.63,WALLET,IOS,Chennai,2026-08-20 01:09:12.711365,,5,1,0.8,0,False,5,NO_ACTION,0.0,0,0.0
txn-0009260,demo-merchant-001,customer-01595,1659.61,UPI,ANDROID,Hyderabad,2026-06-20 15:50:23.711365,,1,0,1.0,0,False,5,NO_ACTION,0.0,0,0.0
txn-0007136,demo-merchant-001,customer-00824,512.64,CARD,ANDROID,Chennai,2026-07-29 18:20:17.711365,EVENING_DEGRADATION,0,0,1.0,0,False,4,SMART_RETRY,0.5,0,0.0
txn-0005112,demo-merchant-001,customer-03921,26756.94,CARD,IOS,Mumbai,2026-07-10 20:16:50.711365,HIGH_VALUE_CARD_DEGRADATION,1,0,1.0,0,True,3,SMART_RETRY,0.4,1,26756.94
txn-0008948,demo-merchant-001,customer-00792,2154.36,NETBANKING,ANDROID,Delhi,2026-06-07 01:44:11.711365,,1,0,1.0,0,False,4,ALTERNATIVE_PAYMENT,0.48,0,0.0
txn-0016165,demo-merchant-001,customer-00996,2027.68,UPI,ANDROID,Mumbai,2026-07-22 06:22:28.711365,,1,0,1.0,2,False,5,ALTERNATIVE_PAYMENT,0.38,0,0.0
txn-0000080,demo-merchant-001,customer-01342,407.83,UPI,ANDROID,Bengaluru,2026-07-14 20:37:01.711365,UPI_DEGRADATION,0,0,1.0,1,False,5,ALTERNATIVE_PAYMENT,0.51,1,407.83
txn-0005550,demo-merchant-001,customer-04857,2750.18,UPI,ANDROID,Delhi,2026-06-26 18:02:22.711365,EVENING_DEGRADATION,0,0,1.0,0,False,5,SMART_RETRY,0.55,0,0.0
txn-0022109,demo-merchant-001,customer-01455,1914.45,NETBANKING,ANDROID,Delhi,2026-06-17 06:12:58.711365,,2,0,1.0,0,False,1,SMART_RETRY,0.38,0,0.0
txn-0035178,demo-merchant-001,customer-00873,19728.39,WALLET,ANDROID,Mumbai,2026-08-25 13:51:34.711365,,10,5,0.5,1,True,2,SMART_RETRY,0.145,1,19728.39
txn-0042529,demo-merchant-001,customer-01251,2228.22,UPI,IOS,Delhi,2026-08-04 11:48:49.711365,,9,4,0.5556,0,False,1,ALTERNATIVE_PAYMENT,0.34,1,2228.22
txn-0006553,demo-merchant-001,customer-02885,14686.0,CARD,IOS,Mumbai,2026-08-12 18:52:43.711365,EVENING_DEGRADATION,0,0,1.0,0,True,1,ALTERNATIVE_PAYMENT,0.71,1,14686.0
txn-0007098,demo-merchant-001,customer-01404,1713.27,UPI,IOS,Hyderabad,2026-08-31 19:11:50.711365,EVENING_DEGRADATION,1,0,1.0,0,False,2,NO_ACTION,0.0,0,0.0
txn-0044012,demo-merchant-001,customer-03431,5649.19,WALLET,ANDROID,Mumbai,2026-07-17 23:16:04.711365,,7,2,0.7143,0,False,1,NO_ACTION,0.0,0,0.0
txn-0005808,demo-merchant-001,customer-01617,728.28,UPI,ANDROID,Delhi,2026-06-14 20:33:17.711365,EVENING_DEGRADATION,1,0,1.0,0,False,3,SMART_RETRY,0.55,1,728.28
txn-0002206,demo-merchant-001,customer-02324,2918.51,UPI,ANDROID,Bengaluru,2026-08-20 20:46:58.711365,UPI_DEGRADATION,0,0,1.0,0,False,1,NO_ACTION,0.0,0,0.0
txn-0023816,demo-merchant-001,customer-03409,2873.41,UPI,ANDROID,Bengaluru,2026-07-10 14:08:44.711365,,1,0,1.0,0,False,3,SMART_RETRY,0.43,0,0.0
txn-0028026,demo-merchant-001,customer-01114,623.99,WALLET,ANDROID,Bengaluru,2026-08-28 15:12:07.711365,,5,0,1.0,0,False,4,ALTERNATIVE_PAYMENT,0.48,1,623.99
